报账点编码,报账点名称,报账点状态,地市,区县,年份,月份,月总标杆,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,1,1500.192,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.4,50.4,50.4,15.84,15.84,50.4,50.4,50.688
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,2,1416.384,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,,,
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,3,1571.328,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,4,1520.64,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,5,1571.328,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,6,1520.64,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,
ZDBZD-JS-2018-1018812,泰州德康电机铁塔资源点,启用,泰州,海陵区,2026,7,1563.648,50.688,50.688,50.688,46.848,46.848,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688,50.688
ZDBZD-JS-2018-1021731,泰州靖江振亚资源点,启用,泰州,靖江市,2026,1,1866.0016,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.216,60.12,60.12,60.12,60.12,60.12,60.12,60.12,
ZDBZD-JS-2018-1021731,泰州靖江振亚资源点,启用,泰州,靖江市,2026,2,1854.768,66.18,66.18,66.18,66.18,66.18,66.18,66.18,66.18,66.18,66.18,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,66.276,,,
ZDBZD-JS-2018-1021731,泰州靖江振亚资源点,启用,泰州,靖江市,2026,3,2097.336,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656,67.656
