1	审核状态	审核状态	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
2	报账点编码	报账点编码	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
3	报账点名称	报账点名称	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
4	报账点类型	报账点类型	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
5	所属成本中心	所属成本中心	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
6	成本中心编码	成本中心编码	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
7	所属地市	所属地市	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
8	所属区县	所属区县	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
9	所属部门	所属部门	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
10	报账点状态	报账点状态	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
11	报账点计量倍数	报账点计量倍数	身份与归属	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
12	计划缴费日期	计划缴费日期	身份与归属	date	报账点主数据、月度快照、页面展示、导出Excel
13	最后报账期始	最后报账期始	身份与归属	date	报账点主数据、月度快照、页面展示、导出Excel
14	最后报账期终	最后报账期终	身份与归属	date	报账点主数据、月度快照、页面展示、导出Excel
15	用电类别	用电类别	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
16	电压等级	电压等级	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
17	计费方式	计费方式	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
18	建站用电期始	建站用电期始	用电与计费	date	报账点主数据、月度快照、页面展示、导出Excel
19	是否转改直站点	是否转改直站点	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
20	转改直站点启用时间	转改直站点启用时间	用电与计费	date	报账点主数据、月度快照、页面展示、导出Excel
21	基站电费共享起始日期	基站电费共享起始日期	用电与计费	date	报账点主数据、月度快照、页面展示、导出Excel
22	报账点日均耗电量	报账点日均耗电量	用电与计费	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
23	摘要	摘要	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
24	备注	备注	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
25	关键字	关键字	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
26	删除原因	删除原因	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
27	系统计算普服金额比例	系统计算普服金额比例	用电与计费	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
28	实际普服金额比例	实际普服金额比例	用电与计费	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
29	普服备注	普服备注	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
30	上次报账缴费单编码	上次报账缴费单编码	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
31	上次报账日均耗电量	上次报账日均耗电量	用电与计费	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
32	上次缴费期始	上次缴费期始	用电与计费	date	报账点主数据、月度快照、页面展示、导出Excel
33	上次缴费期终	上次缴费期终	用电与计费	date	报账点主数据、月度快照、页面展示、导出Excel
34	计费方式__2	计费方式	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
35	供电类型	供电类型	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
36	电费缴费周期	电费缴费周期	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
37	电损计算方式	电损计算方式	用电与计费	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
38	合同或固化编码	合同或固化编码	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
39	合同或固化名称	合同或固化名称	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
40	合同或固化状态	合同或固化状态	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
41	合同或固化期始	合同或固化期始	合同与供应商	date	报账点主数据、月度快照、页面展示、导出Excel
42	合同或固化期终	合同或固化期终	合同与供应商	date	报账点主数据、月度快照、页面展示、导出Excel
43	电费单价是否含税	电费单价是否含税	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
44	税率	税率	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
45	是否包干	是否包干	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
46	包干总金额	包干总金额	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
47	电费单价1	电费单价1	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
48	电费单价2	电费单价2	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
49	电费单价3	电费单价3	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
50	电费单价4	电费单价4	合同与供应商	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
51	供应商名称	供应商名称	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
52	供应商编码	供应商编码	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
53	固化关联合同名称	固化关联合同名称	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
54	固化关联合同编码	固化关联合同编码	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
55	固化关联合同状态	固化关联合同状态	合同与供应商	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
56	关联资源编码	关联资源编码	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
57	关联资源名称	关联资源名称	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
58	资源类型	资源类型	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
59	业务类型	业务类型	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
60	主设备功率	主设备功率	资源与电表	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
61	空调总功率	空调总功率	资源与电表	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
62	铁塔空调总额定功率	铁塔空调总额定功率	资源与电表	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
63	资源状态	资源状态	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
64	铁塔站址编码	铁塔站址编码	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
65	产权性质	产权性质	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
66	产权单位	产权单位	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
67	入网时间	入网时间	资源与电表	date	报账点主数据、月度快照、页面展示、导出Excel
68	退网时间	退网时间	资源与电表	date	报账点主数据、月度快照、页面展示、导出Excel
69	关联电表编码	关联电表编码	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
70	电表户号	电表户号	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
71	电表状态	电表状态	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
72	是否多机房共用	是否多机房共用	资源与电表	varchar/enum	报账点主数据、月度快照、页面展示、导出Excel
73	电表倍率	电表倍率	资源与电表	decimal(18,6)	报账点主数据、月度快照、页面展示、导出Excel
