1	报账点名称	报账点名称	电表与分摊	varchar/enum	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
2	报账点编码	报账点编码	电表与分摊	varchar/enum	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
3	缴费单编码	缴费单编码	电表与分摊	varchar/enum	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
4	缴费期始	缴费期始	电表与分摊	date	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
5	缴费期终	缴费期终	电表与分摊	date	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
6	电表编码	电表编码	电表与分摊	varchar/enum	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
7	电表户号	电表户号	电表与分摊	varchar/enum	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
8	电表倍率	电表倍率	电表与分摊	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
9	实际分摊比例	实际分摊比例	电表与分摊	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
10	上次分摊比例	上次分摊比例	电表与分摊	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
11	电表上期读数	电表上期读数	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
12	本期读数	本期读数	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
13	电表耗电量	电表耗电量	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
14	分摊后度数	分摊后度数	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
15	单价1	单价1	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
16	电量1	电量1	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
17	电损电量1	电损电量1	总读数与总量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
18	平上期读数	平上期读数	平段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
19	平本期读数	平本期读数	平段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
20	平归零次数	平归零次数	平段读数与电量	integer	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
21	单价2	单价2	平段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
22	电量2	电量2	平段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
23	电损电量2	电损电量2	平段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
24	峰上期读数	峰上期读数	峰段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
25	峰本期读数	峰本期读数	峰段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
26	峰归零次数	峰归零次数	峰段读数与电量	integer	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
27	单价3	单价3	峰段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
28	电量3	电量3	峰段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
29	电损电量3	电损电量3	峰段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
30	谷上期读数	谷上期读数	谷段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
31	谷本期读数	谷本期读数	谷段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
32	谷归零次数	谷归零次数	谷段读数与电量	integer	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
33	单价4	单价4	谷段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
34	电量4	电量4	谷段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
35	电损电量4	电损电量4	谷段读数与电量	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
36	尖上期读数	尖上期读数	尖段读数	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
37	尖本期读数	尖本期读数	尖段读数	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
38	尖归零次数	尖归零次数	尖段读数	integer	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
39	电费不含税金额	电费不含税金额	电费与电损金额	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
40	电费税金	电费税金	电费与电损金额	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
41	电损不含税金额	电损不含税金额	电费与电损金额	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
42	电损税金	电损税金	电费与电损金额	decimal(18,6)	电表读数、实际用电汇总、交叉核验、页面展示、导出Excel
