1	审核状态	审核状态	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
2	上次审核时间	上次审核时间	单据与审核	date	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
3	上次审核人	上次审核人	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
4	审核结果	审核结果	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
5	审核意见	审核意见	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
6	当前审核环节	当前审核环节	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
7	当前审核人	当前审核人	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
8	推送状态	推送状态	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
9	财务审核时间	财务审核时间	单据与审核	date	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
10	财务返回单号	财务返回单号	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
11	汇总单编码	汇总单编码	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
12	缴费单编码	缴费单编码	单据与审核	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
13	所属地市	所属地市	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
14	所属区县	所属区县	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
15	报账点编码	报账点编码	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
16	报账点名称	报账点名称	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
17	报账点类型	报账点类型	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
18	报账点计量倍数	报账点计量倍数	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
19	合同编码	合同编码	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
20	合同名称	合同名称	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
21	购电方式	购电方式	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
22	供电类型	供电类型	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
23	电损计算方式	电损计算方式	账期与金额	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
24	缴费申请日期	缴费申请日期	账期与金额	date	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
25	缴费期始	缴费期始	账期与金额	date	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
26	缴费期终	缴费期终	账期与金额	date	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
27	缴费天数	缴费天数	账期与金额	integer	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
28	日均耗电量	日均耗电量	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
29	不含税平均单价	不含税平均单价	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
30	实际分摊比例	实际分摊比例	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
31	实际电费税率（单位：%）	实际电费税率（单位：%）	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
32	实际不含税电费金额	实际不含税电费金额	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
33	实际电费税金	实际电费税金	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
34	实际价款	实际价款	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
35	实际税金	实际税金	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
36	实际报账金额	实际报账金额	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
37	系统计算金额	系统计算金额	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
38	实际总耗电量	实际总耗电量	账期与金额	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
39	数据来源	数据来源	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
40	录入人	录入人	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
41	报账人三费账号	报账人三费账号	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
42	报账人工号	报账人工号	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
43	报账人SMAP账号	报账人SMAP账号	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
44	所属部门	所属部门	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
45	所属成本中心	所属成本中心	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
46	所属成本中心名称	所属成本中心名称	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
47	票据类型	票据类型	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
48	报账单类型	报账单类型	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
49	业务大类	业务大类	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
50	业务小类	业务小类	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
51	业务活动	业务活动	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
52	市场段	市场段	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
53	产品段	产品段	合同与业务	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
54	实际普服金额比例(%)	实际普服金额比例(%)	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
55	异常情况	异常情况	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
56	标杆是否超标	标杆是否超标	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
57	历史电费标杆-同比	历史电费标杆-同比	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
58	历史电费标杆-环比	历史电费标杆-环比	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
59	历史日均电量标杆-同比	历史日均电量标杆-同比	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
60	历史日均电量标杆-环比	历史日均电量标杆-环比	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
61	额定功率标杆	额定功率标杆	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
62	智能电表标杆(动环)	智能电表标杆(动环)	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
63	智能电表标杆(集采)	智能电表标杆(集采)	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
64	动环负载标杆	动环负载标杆	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
65	平峰谷按总量录入均价标杆	平峰谷按总量录入均价标杆	标杆与备注	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
66	关键字	关键字	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
67	必填备注	必填备注	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
68	备注类型1	备注类型1	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
69	备注1	备注1	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
70	备注类型2	备注类型2	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
71	备注2	备注2	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
72	备注类型3	备注类型3	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
73	备注3	备注3	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
74	备注类型4	备注类型4	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
75	备注4	备注4	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
76	备注类型5	备注类型5	标杆与备注	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
77	备注5	备注5	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
78	其他费用名称1	其他费用名称1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
79	票据类型1	票据类型1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
80	价款1	价款1	其他费用1	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
81	税率1	税率1	其他费用1	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
82	税金1	税金1	其他费用1	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
83	含税金额1	含税金额1	其他费用1	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
84	其他电量1	其他电量1	其他费用1	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
85	业务大类1	业务大类1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
86	业务小类1	业务小类1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
87	业务活动1	业务活动1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
88	市场段1	市场段1	其他费用1	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
89	产品段1	产品段1	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
90	其他费用名称2	其他费用名称2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
91	票据类型2	票据类型2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
92	价款2	价款2	其他费用2	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
93	税率2	税率2	其他费用2	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
94	税金2	税金2	其他费用2	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
95	含税金额2	含税金额2	其他费用2	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
96	其他电量2	其他电量2	其他费用2	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
97	业务大类2	业务大类2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
98	业务小类2	业务小类2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
99	业务活动2	业务活动2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
100	市场段2	市场段2	其他费用2	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
101	产品段2	产品段2	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
102	其他费用名称3	其他费用名称3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
103	票据类型3	票据类型3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
104	价款3	价款3	其他费用3	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
105	税率3	税率3	其他费用3	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
106	税金3	税金3	其他费用3	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
107	含税金额3	含税金额3	其他费用3	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
108	其他电量3	其他电量3	其他费用3	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
109	业务大类3	业务大类3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
110	业务小类3	业务小类3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
111	业务活动3	业务活动3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
112	市场段3	市场段3	其他费用3	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
113	产品段3	产品段3	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
114	其他费用名称4	其他费用名称4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
115	票据类型4	票据类型4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
116	价款4	价款4	其他费用4	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
117	税率4	税率4	其他费用4	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
118	税金4	税金4	其他费用4	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
119	含税金额4	含税金额4	其他费用4	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
120	其他电量4	其他电量4	其他费用4	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
121	业务大类4	业务大类4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
122	业务小类4	业务小类4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
123	业务活动4	业务活动4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
124	市场段4	市场段4	其他费用4	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
125	产品段4	产品段4	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
126	其他费用名称5	其他费用名称5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
127	票据类型5	票据类型5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
128	价款5	价款5	其他费用5	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
129	税率5	税率5	其他费用5	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
130	税金5	税金5	其他费用5	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
131	含税金额5	含税金额5	其他费用5	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
132	其他电量5	其他电量5	其他费用5	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
133	业务大类5	业务大类5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
134	业务小类5	业务小类5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
135	业务活动5	业务活动5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
136	市场段5	市场段5	其他费用5	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
137	产品段5	产品段5	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
138	其他费用名称6	其他费用名称6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
139	票据类型6	票据类型6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
140	价款6	价款6	其他费用6	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
141	税率6	税率6	其他费用6	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
142	税金6	税金6	其他费用6	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
143	含税金额6	含税金额6	其他费用6	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
144	其他电量6	其他电量6	其他费用6	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
145	业务大类6	业务大类6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
146	业务小类6	业务小类6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
147	业务活动6	业务活动6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
148	市场段6	市场段6	其他费用6	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
149	产品段6	产品段6	其他费用7	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
150	其他费用名称7	其他费用名称7	其他费用7	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
151	票据类型7	票据类型7	其他费用7	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
152	价款7	价款7	其他费用7	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
153	税率7	税率7	其他费用7	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
154	税金7	税金7	其他费用7	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
155	含税金额7	含税金额7	其他费用7	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
156	其他电量7	其他电量7	其他费用7	decimal(18,6)	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
157	业务大类7	业务大类7	其他费用7	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
158	业务小类7	业务小类7	其他费用7	varchar/enum	缴费明细、业务汇总、交叉核验、页面展示、导出Excel
